Role,Phases Active,Rationale,Comments
Salesforce Architect,1-4,"Load-bearing role across all phases. Foundation data model design (Phase 1), integration patterns (Phase 2-3), analytics strategy (Phase 4). Addresses Government Cloud org design, FedRAMP compliance architecture, multi-cloud integration.","Highest continuity requirement — same architect across all phases preferred to maintain architectural coherence. Knowledge transfer risk if architect changes mid-program."
Security Specialist (FedRAMP/ATO/PCI DSS),1-2,"Phase 1 critical path: USDA ATO application (6-9 months), Shield encryption, Platform Event Monitoring, Login.gov SSO. Phase 2: PCI DSS validation for Worldpay tokenization. Addresses highest schedule risk.","Must have federal government experience (NIST 800-53 controls, ATO application process). Commercial-only security background insufficient for USDA CISO coordination."
Senior Apex Developer,1-3,"Phase 1 peak: Complex business rules engine for 6,000+ facilities (dynamic booking windows, conflict detection, Platform Events). Phase 2: Booking workflows, payment integration. Phase 3: Data migration scripts (21M+ records). Addresses highest technical risk.","Requires Apex governor limits expertise (Bulk API optimization, Platform Events async patterns). Junior developers insufficient for business rules complexity."
LWC Developer (JavaScript/HTML/CSS),2-3,"Phase 2 critical: Custom LWC map component (Mapbox/ArcGIS 1m GSD imagery), white-label widgets, mobile-first responsive design. Phase 3: Business rule configuration UI. Addresses highest UI complexity + Section 508 compliance.","Must have experience with third-party JavaScript library integration (Mapbox/ArcGIS APIs) and Section 508 accessibility patterns."
Experience Cloud Specialist,2-3,"Phase 2: Digital Experiences public portal (48M visitors, guest users, Login.gov SSO). Phase 3: Partner Community for 5,000 internal stakeholders (8 agencies, role-based access). Addresses 2 of 3 XL epics.","Must distinguish Digital Experiences (public, guest users) from Partner Community (authenticated, role-based) — different licensing models and design patterns."
Integration Developer (REST APIs/SAML/SFTP),1-3,"Phase 1: Login.gov SAML 2.0 SSO, agency IdP OAuth/SAML for MFA. Phase 2: Worldpay REST API, US Bank Lockbox SFTP, Service Cloud Voice Amazon Connect. Phase 3: Data Cloud connectors for 8 agency CMS. Addresses 10+ external integrations.","Requires OAuth 2.0, SAML 2.0, SFTP, and REST API experience. Government SSO integration (Login.gov) is atypical — commercial SSO patterns do not directly apply."
Service Cloud Specialist,2,"Phase 2 only: Omni-Channel contact center (phone via Service Cloud Voice + Amazon Connect, chat, email), case management workflows, Knowledge Base. Addresses contact center requirement for 365-day operations.","Service Cloud Voice telephony setup is complex (Amazon Connect partner integration); requires prior Voice implementation experience. Generic Service Cloud knowledge insufficient."
Data Cloud Specialist,3,"Phase 3 only: RIDB aggregation hub — connector setup for 8 agency CMS, data prep recipes, Data Cloud Connect REST API. Addresses newer Salesforce product learning curve and multi-agency schema harmonization.","Data Cloud is distinct from Platform (different data model, different query language). Requires Data Cloud certification or equivalent hands-on experience."
Mobile Developer (Salesforce Mobile SDK),3,"Phase 3 only: Offline mobile app for field users at 6,000+ remote facilities — local storage (SQLite), sync conflict resolution, connectivity monitoring. Addresses offline sync conflict risk.","Salesforce Mobile SDK is distinct from generic mobile development. Must have prior SDK offline sync experience — no native conflict resolution exists."
Data Migration Lead,3,"Phase 3 critical path: Phased migration strategy for 21M+ reservations, 6,000+ facilities, 10M+ user profiles. Coordinates incumbent contractor per SOO Section 6.3, designs parallel operations validation. Addresses highest data risk.","Requires Salesforce Bulk API expertise and federal contractor transition-out experience. Commercial data migration patterns insufficient for incumbent coordination complexity."
ETL Developer (MuleSoft or Heroku),3,"Phase 3 only: Business rules reverse-engineering, data cleansing, MuleSoft/Heroku setup for 21M+ records. Addresses incumbent contractor documentation gaps and ETL tool complexity.","MuleSoft vs. Heroku decision deferred to Phase 1 (architecture decision). Either tool requires Salesforce connector experience and Bulk API optimization."
Data Quality Analyst,3,"Phase 3 only: Validate 21M+ migrated records (automated + manual spot checks), identify duplicates/missing fields. Designs data quality checkpoints per migration phase. Addresses <1% error rate target.","Requires Salesforce data model knowledge (standard vs. custom objects, required fields, validation rules) and statistical sampling techniques for 21M+ record validation."
CRM Analytics Developer (Tableau),4,"Phase 4 only: CRM Analytics (Tableau) embedded dashboards for PMO, APMs, public insights. Standard QASP reports, ad-hoc query builder. Addresses QASP surveillance requirement and monthly PMR cadence.","CRM Analytics (Tableau) is distinct from Reports & Dashboards (different data model, different query language). Requires Tableau CRM certification or equivalent."
Training Specialist,4,"Phase 4 only: Multi-tiered training programs (APMs, field staff, concessionaires, public) and train-the-trainer (2-3 champions per agency). Addresses Government user engagement (5,000 stakeholders).","Requires adult learning principles expertise and train-the-trainer facilitation experience. Generic Salesforce training insufficient for government user audience (federal compliance context)."
DevOps Engineer,1 and 4,"Phase 1: Government Cloud org setup, GitHub initialization. Phase 4: DevOps Center configuration, deployment pipeline, CI/CD training for Government IT. Addresses government ownership requirement (SOO Section 6.1).","Salesforce DevOps Center is newer product (distinct from Jenkins/GitHub Actions patterns). Requires DevOps Center hands-on experience or willingness to learn during Phase 1."
Accessibility Specialist (Section 508 / WCAG Level AA),2,"Phase 2 only: Section 508/WCAG Level AA compliance testing for public portal — screen reader validation, keyboard navigation, color contrast. Conducts audits at sprint 12 and sprint 18 (pre-UAT). Addresses SOO mandatory 508 requirement.","Requires Section 508 certification or equivalent (WCAG 2.1 Level AA). Generic QA testing insufficient — accessibility testing is specialized discipline (assistive technology usage patterns)."
QA Engineer,1-4,"All phases: Phase 1 unit testing (85%+ Apex coverage, business rules regression). Phase 2 load testing (48M visitor capacity). Phase 3 data validation (21M+ records). Phase 4 UAT coordination. Addresses complexity and performance risk.","Requires Salesforce-specific testing tools knowledge (Apex Test Framework, Salesforce CLI, JMeter for load testing). Generic software QA background insufficient for Apex governor limits testing."
Scrum Master / PMO Liaison,1-4,"All phases: Agile ceremonies (sprint planning, demos, retrospectives), QASP surveillance (monthly metrics for quarterly PMRs), Government stakeholder coordination (USDA CISO, APMs, field users). Addresses SOO Section 6.2 Agile requirement.","Requires federal government program management experience (quarterly PMR format, QASP surveillance, ATO coordination). Commercial Scrum Master background insufficient for government stakeholder coordination complexity."
